net_worth,net_xp,team_winrate_avg,score,net_barracks,radiant_win
-34501.13333333333,-33635.98333333334,-1.3760170799188387,-36,-4,False
16976.75,10082.5,0.9930923287158748,12,4,True
-65103.749999999985,-64525.04999999999,-0.21632449622168082,-44,-4,False
-6331.066666666651,-13153.866666666669,-1.55296661700703,29,2,True
-16506.666666666657,-3817.166666666657,0.0946973114241132,-14,-2,False
22653.466666666674,26312.383333333346,0.4338837297899403,16,2,True
7495.800000000003,4191.199999999953,2.1717181319958456,3,3,True
29956.100000000006,33029.35,-2.455071538082528,12,6,True
37493.58333333333,39424.58333333333,-1.220643613488754,19,6,True
9164.0,-7279.0,-0.37474657302121983,11,4,True
28008.75,18521.25,1.5728492116890678,29,6,True
25675.90000000001,29117.0,0.12969720246326943,27,4,True
25761.49999999997,-45563.25,4.082550325288345,1,0,True
-15681.10000000002,-51805.10000000002,-1.1958579788287054,-40,-2,False
-19789.199999999983,-21868.500000000015,-1.0510880866951098,4,-6,False
-15687.5,-21625.0,-0.8974013346420762,-14,-6,False
-29545.799999999996,-24799.916666666657,0.8747971492827062,-15,-6,False
24219.79999999999,12072.866666666669,0.14275958049165638,-1,6,True
-72.40000000000146,-3737.6499999999996,1.5654554127381601,-6,0,False
-14868.333333333328,13678.866666666669,0.35685293079212954,-3,-2,False
41592.95,50753.61666666667,1.5893381198520231,26,2,True
-25668.50000000003,-25339.416666666657,-0.008446897052202473,-8,-2,False
-53050.2,-33010.59999999998,-1.2456546752113127,-18,-6,False
13459.133333333346,20681.966666666674,0.3495590676943081,17,5,True
22075.783333333326,14851.899999999965,1.515917704840426,0,2,True
-10961.600000000006,-19393.600000000006,-3.9895827974060083,-18,-4,False
-26124.233333333337,-46596.06666666665,0.4393379825254158,-15,-2,False
-6729.733333333337,-24494.25,2.331004179373892,-15,-2,False
30732.5,25222.5,0.45455384741497085,27,6,True
-32308.199999999997,-32018.699999999997,-0.2546260935203719,-16,-6,False
-26894.40000000001,-42087.149999999994,-1.0147704643770226,4,-2,False
-12370.333333333328,-13680.74999999997,-1.4836574820984012,-7,0,False
20091.300000000003,20820.0,-1.494941940852783,5,4,True
-4665.833333333343,2672.25,-2.031249573699874,-4,-6,False
-49550.21666666666,-47029.83333333332,-0.8736109775284362,-42,-2,False
13953.600000000006,27496.800000000003,-2.476418656494573,13,4,True
15293.199999999997,17092.399999999994,-0.11862532418227545,4,6,True
29369.66666666667,33345.316666666666,-4.489745104731085,15,6,True
-47482.6,-51719.61666666668,-0.10030328959070545,-51,-6,False
-30952.583333333343,-32276.566666666673,0.52085108951281,-23,-4,False
54349.51666666669,38688.533333333355,1.3744529467606128,19,5,True
-44532.83333333336,-42045.5,-0.5666727205224547,-22,-6,False
24897.9,24897.899999999994,2.5359983318522197,22,6,True
-27505.79999999999,-7867.649999999965,-0.7099445898134746,-13,0,False
15453.333333333332,15820.349999999995,-0.6821860422843713,12,1,True
-34746.833333333336,-39585.000000000015,-1.1363500557305315,-20,-6,False
19793.499999999985,22815.733333333337,1.4616100563512475,20,6,True
36246.40000000001,30756.79999999999,-0.7984996838349048,31,6,True
-17478.75,-29337.75,-1.5471318641707796,-31,-4,False
-6317.200000000012,19787.70000000001,-1.0645023250368695,15,0,True
26112.08333333333,13758.366666666669,1.2065567716295078,7,6,True
2695.733333333337,5146.400000000023,0.5107716178069666,3,-2,True
-16014.133333333331,-18289.59999999999,3.7322539675389095,-18,-6,False
-31173.066666666666,-32952.26666666666,3.5452279502496395,-27,-6,False
-13817.266666666648,-19752.199999999997,1.5171782478827112,-20,-6,False
22847.866666666683,6328.533333333355,-1.0231582163066264,-12,6,True
16990.499999999985,4193.399999999994,1.2253126792713758,6,2,True
-24760.950000000026,-7640.850000000006,-2.6170311086788516,-4,-6,False
-4015.266666666663,3819.399999999994,2.780859822405077,-11,-2,False
-1497.6499999999942,-23327.033333333355,-3.5318036987864545,-24,0,False
21208.816666666666,35916.60000000001,1.2124916478470027,17,4,True
-6648.299999999988,11130.300000000017,-1.1418365263306498,9,-2,False
47139.600000000006,42119.2,1.742067446655149,37,2,True
-42275.833333333336,-54400.83333333333,-0.42278831548193807,-42,-6,False
28405.800000000003,35333.09999999999,0.15064799728796885,17,6,True
-1600.25,9990.75,-2.6670209007484686,-12,1,False
22339.20000000001,33974.19999999998,2.0823977586727977,26,4,True
-30558.916666666664,-32593.916666666657,1.3411000454831665,-30,-4,False
38156.25,43908.33333333332,1.1302284514714174,31,4,True
-26760.000000000015,-23281.199999999983,0.6837986625791217,-16,-6,False
10064.26666666667,-2243.466666666667,0.6470268618822459,1,2,True
12328.400000000009,23871.166666666657,3.1448837268170777,19,2,True
1820.5833333333285,-6450.06666666668,-2.012901302365435,7,2,True
-38617.58333333334,-57996.25,2.7924571767095827,-35,-6,False
-37913.33333333334,-38289.33333333333,-2.608024518791865,-31,-4,False
13278.78333333334,10005.06666666668,2.9781344981467512,15,5,True
14760.633333333331,20832.733333333337,3.2255841696297907,14,6,True
29227.633333333324,28868.066666666666,-0.9649667493197001,19,2,True
881.0,-19249.850000000006,-0.9540797485555927,-18,-1,False
-17619.999999999985,-381.7666666666337,2.317914813261119,-3,0,False
-3372.8000000000175,16758.600000000035,0.026670647689570615,12,6,False
-411.4666666666599,14298.466666666645,-3.2557270088939205,19,2,True
-6404.300000000003,-3267.5,-2.788869667303402,4,0,False
12641.200000000012,14838.200000000012,1.9789941000391664,1,2,True
17649.0,-2294.0,0.711634247555871,15,4,True
4005.833333333332,8133.583333333334,1.5119319096782817,2,0,True
-18251.483333333337,-16713.600000000006,-2.4725096816403322,-4,-4,False
28087.5,16248.75,-2.515038582752183,11,2,True
-19877.366666666683,-19209.549999999974,0.2599807355716166,-14,-6,False
-7925.400000000009,-28524.29999999999,-0.38518601799412977,-5,-2,False
37549.3,41021.79999999999,0.18633860354547238,9,5,True
-11813.96666666666,1077.916666666657,4.572097614423811,3,-6,False
20583.333333333336,21856.250000000007,0.8997972358500022,20,2,True
3066.366666666683,-9450.816666666651,-3.9746204993274574,-4,2,True
-22847.500000000007,-34868.8,2.017802678556812,-21,-6,False
-48234.66666666667,-31185.333333333314,-1.379362808923247,-20,-6,False
-35003.15000000001,-44970.033333333326,0.5088954489968955,-22,-4,False
-16126.0,-19009.13333333333,1.6849944060229518,-12,-6,False
20972.66666666668,31137.333333333343,2.5239616675686207,10,4,True
31063.149999999994,23951.266666666663,-2.134655544623392,6,6,True
